sede_id,nucleo,tipo,tipo_sigla,nombre,estado,qr_url
MED-914-017,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA GRANIZAL,Activa,index.html?sede=MED-914-017#registro
MED-914-018,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA POPULAR NO 2,Activa,index.html?sede=MED-914-018#registro
MED-914-019,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA SEGUNDA AGRUPACION,Activa,index.html?sede=MED-914-019#registro
MED-914-020,914,Sección Escuela,SEC,SEC ESC GRACIELA JIMENEZ DE BUSTAMANTE,Activa,index.html?sede=MED-914-020#registro
MED-914-021,914,Sección Escuela,SEC,SEC ESC LA ESPERANZA NO 2,Activa,index.html?sede=MED-914-021#registro
MED-914-022,914,Sección Escuela,SEC,SEC ESC MARCO FIDEL SUAREZ,Activa,index.html?sede=MED-914-022#registro
MED-914-023,914,Sección Escuela,SEC,SEC ESC MEDELLIN,Activa,index.html?sede=MED-914-023#registro
MED-914-024,914,Sección Escuela,SEC,SEC ESC NUEVO HORIZONTE 2,Activa,index.html?sede=MED-914-024#registro
MED-914-025,914,Sección Escuela,SEC,SEC ESC PAULO VI,Activa,index.html?sede=MED-914-025#registro
MED-914-026,914,Sección Escuela,SEC,SEC ESC SANTO DOMINGO SAVIO,Activa,index.html?sede=MED-914-026#registro
MED-915-001,915,Institución Educativa,IE,INST EDUC ASIA IGNACIANA,Activa,index.html?sede=MED-915-001#registro
MED-915-002,915,Institución Educativa,IE,INST EDUC BARRIO SANTA CRUZ,Activa,index.html?sede=MED-915-002#registro
MED-915-003,915,Institución Educativa,IE,INST EDUC CIRO MENDIA,Activa,index.html?sede=MED-915-003#registro
MED-915-004,915,Institución Educativa,IE,INST EDUC EL PLAYON,Activa,index.html?sede=MED-915-004#registro
MED-915-005,915,Institución Educativa,IE,INST EDUC FE Y ALEGRIA JOSE MARIA VELAZ,Activa,index.html?sede=MED-915-005#registro
MED-915-006,915,Institución Educativa,IE,INST EDUC FINCA LA MESA,Activa,index.html?sede=MED-915-006#registro
MED-915-007,915,Institución Educativa,IE,INST EDUC LA ASUNCION,Activa,index.html?sede=MED-915-007#registro
MED-915-008,915,Institución Educativa,IE,INST EDUC MANUEL URIBE ÁNGEL,Activa,index.html?sede=MED-915-008#registro
MED-915-009,915,Institución Educativa,IE,INST EDUC PABLO NERUDA,Activa,index.html?sede=MED-915-009#registro
MED-915-010,915,Institución Educativa,IE,INST EDUC REPUBLICA DE HONDURAS,Activa,index.html?sede=MED-915-010#registro
MED-915-011,915,Institución Educativa,IE,INST EDUC SANTA TERESA,Activa,index.html?sede=MED-915-011#registro
MED-915-012,915,Institución Educativa,IE,INST EDUC VILLA DEL SOCORRO,Activa,index.html?sede=MED-915-012#registro
MED-915-013,915,Sección Escuela,SEC,SEC ESC ARZOBISPO GARCIA,Activa,index.html?sede=MED-915-013#registro
MED-915-014,915,Sección Escuela,SEC,SEC ESC ASIA IGNACIANA,Activa,index.html?sede=MED-915-014#registro
MED-915-015,915,Sección Escuela,SEC,SEC ESC FIDEL A. SALDARRIAGA,Activa,index.html?sede=MED-915-015#registro
MED-915-016,915,Sección Escuela,SEC,SEC ESC GERARDO DAVID GIRALDO,Activa,index.html?sede=MED-915-016#registro
MED-915-017,915,Sección Escuela,SEC,SEC ESC JUAN BAUTISTA MONTINI,Activa,index.html?sede=MED-915-017#registro
MED-915-018,915,Sección Escuela,SEC,SEC ESC LA FRANCIA,Activa,index.html?sede=MED-915-018#registro
MED-915-019,915,Sección Escuela,SEC,SEC ESC LA FRONTERA,Activa,index.html?sede=MED-915-019#registro
MED-915-020,915,Sección Escuela,SEC,SEC ESC LA ISLA,Activa,index.html?sede=MED-915-020#registro
MED-915-021,915,Sección Escuela,SEC,SEC ESC MUNICIPAL LA ROSA,Activa,index.html?sede=MED-915-021#registro
MED-915-022,915,Sección Escuela,SEC,SEC ESC VILLA NIZA,Activa,index.html?sede=MED-915-022#registro
MED-915-023,915,Otro,OTRO,SEC PREESC EL PLAYON,Activa,index.html?sede=MED-915-023#registro
MED-916-001,916,Institución Educativa,IE,INST EDUC ALVARO MARIN VELASCO,Activa,index.html?sede=MED-916-001#registro
MED-916-002,916,Institución Educativa,IE,INST EDUC ENRIQUE OLAYA HERRERA,Activa,index.html?sede=MED-916-002#registro
MED-916-003,916,Institución Educativa,IE,INST EDUC FE Y ALEGRIA LA CIMA,Activa,index.html?sede=MED-916-003#registro
MED-916-004,916,Institución Educativa,IE,INST EDUC GABRIEL RESTREPO MORENO,Activa,index.html?sede=MED-916-004#registro
MED-916-005,916,Institución Educativa,IE,INST EDUC HERNAN TORO AGUDELO,Activa,index.html?sede=MED-916-005#registro
MED-916-006,916,Institución Educativa,IE,INST EDUC JOSE ANTONIO GALAN,Activa,index.html?sede=MED-916-006#registro
MED-916-007,916,Institución Educativa,IE,INST EDUC JOSE ROBERTO VASQUEZ,Activa,index.html?sede=MED-916-007#registro
MED-916-008,916,Institución Educativa,IE,INST EDUC LAS NIEVES,Activa,index.html?sede=MED-916-008#registro
MED-916-009,916,Institución Educativa,IE,INST EDUC MANUELA BELTRAN,Activa,index.html?sede=MED-916-009#registro
MED-916-010,916,Institución Educativa,IE,INST EDUC MONTECARLO GUILLERMO GAVIRIA CORREA,Activa,index.html?sede=MED-916-010#registro
MED-916-011,916,Institución Educativa,IE,INST EDUC PEDRO LUIS VILLA,Activa,index.html?sede=MED-916-011#registro
MED-916-012,916,Institución Educativa,IE,INST EDUC RAMON MUNERA LOPERA,Activa,index.html?sede=MED-916-012#registro
MED-916-013,916,Institución Educativa,IE,INST EDUC REINO DE BELGICA,Activa,index.html?sede=MED-916-013#registro
MED-916-014,916,Institución Educativa,IE,INST EDUC RODRIGO LARA BONILLA,Activa,index.html?sede=MED-916-014#registro
MED-916-015,916,Institución Educativa,IE,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,Activa,index.html?sede=MED-916-015#registro
MED-916-016,916,Institución Educativa,IE,INST EDUC SAN LORENZO DE ABURRA,Activa,index.html?sede=MED-916-016#registro
MED-916-017,916,Sección Escuela,SEC,SEC ESC ALTO DE LA CRUZ,Activa,index.html?sede=MED-916-017#registro
MED-916-018,916,Sección Escuela,SEC,SEC ESC BALDOMERO SANIN CANO,Activa,index.html?sede=MED-916-018#registro
MED-916-019,916,Sección Escuela,SEC,SEC ESC BELLO ORIENTE,Activa,index.html?sede=MED-916-019#registro
MED-916-020,916,Sección Escuela,SEC,SEC ESC BELLO ORIENTE,Activa,index.html?sede=MED-916-020#registro
MED-916-021,916,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA NO 3,Activa,index.html?sede=MED-916-021#registro
MED-916-022,916,Sección Escuela,SEC,SEC ESC JOSE MANUEL MORA VASQUEZ,Activa,index.html?sede=MED-916-022#registro
MED-916-023,916,Sección Escuela,SEC,SEC ESC LA CIMA SAN JOSE,Activa,index.html?sede=MED-916-023#registro
MED-916-024,916,Sección Escuela,SEC,SEC ESC MARCO FIDEL SUAREZ,Activa,index.html?sede=MED-916-024#registro
MED-916-025,916,Sección Escuela,SEC,SEC ESC NUESTRA SEÑORA DE LAS NIEVES,Activa,index.html?sede=MED-916-025#registro
MED-916-026,916,Sección Escuela,SEC,SEC ESC SAN JOSE,Activa,index.html?sede=MED-916-026#registro
MED-916-027,916,Sección Escuela,SEC,SEC ESC SAN LORENZO DE ABURRA,Activa,index.html?sede=MED-916-027#registro
MED-916-028,916,Sección Escuela,SEC,SEC ESC SANTA BERNARDITA,Activa,index.html?sede=MED-916-028#registro
MED-916-029,916,Sección Escuela,SEC,SEC ESC VERSALLES,Activa,index.html?sede=MED-916-029#registro
MED-916-030,916,Sección Escuela,SEC,SEC ESC VICTOR GOMEZ RESTREPO,Activa,index.html?sede=MED-916-030#registro
MED-917-001,917,Institución Educativa,IE,INST EDUC ALFONSO MORA NARANJO,Activa,index.html?sede=MED-917-001#registro
MED-917-002,917,Institución Educativa,IE,INST EDUC ALVERNIA,Activa,index.html?sede=MED-917-002#registro
MED-917-003,917,Institución Educativa,IE,INST EDUC CAMILO TORRES RESTREPO,Activa,index.html?sede=MED-917-003#registro
MED-917-004,917,Institución Educativa,IE,INST EDUC CAMPO VALDES,Activa,index.html?sede=MED-917-004#registro
MED-917-005,917,Institución Educativa,IE,INST EDUC FRANCISCO MIRANDA,Activa,index.html?sede=MED-917-005#registro
MED-917-006,917,Institución Educativa,IE,INST EDUC JAVIERA LONDOÑO-SEVILLA,Activa,index.html?sede=MED-917-006#registro
MED-917-007,917,Institución Educativa,IE,INST EDUC JOSE MARIA BRAVO MARQUEZ,Activa,index.html?sede=MED-917-007#registro
MED-917-008,917,Institución Educativa,IE,INST EDUC JUAN DE DIOS COCK,Activa,index.html?sede=MED-917-008#registro
MED-917-009,917,Institución Educativa,IE,INST EDUC SAN JUAN BOSCO,Activa,index.html?sede=MED-917-009#registro
MED-917-010,917,Sección Escuela,SEC,SEC ESC ATANASIO GIRARDOT,Activa,index.html?sede=MED-917-010#registro
MED-917-011,917,Sección Escuela,SEC,SEC ESC CARLOS VASQUEZ LATORRE,Activa,index.html?sede=MED-917-011#registro
MED-917-012,917,Sección Escuela,SEC,SEC ESC CRESCENCIO SALCEDO MONROY,Activa,index.html?sede=MED-917-012#registro
MED-917-013,917,Sección Escuela,SEC,SEC ESC JULIO ARBOLEDA,Activa,index.html?sede=MED-917-013#registro
MED-917-014,917,Sección Escuela,SEC,SEC ESC PORFIRIO BARBA JACOB,Activa,index.html?sede=MED-917-014#registro
MED-917-015,917,Sección Escuela,SEC,SEC ESC SANTA MARIA GORETTI,Activa,index.html?sede=MED-917-015#registro
MED-918-001,918,Institución Educativa,IE,INST EDUC EL BOSQUE,Activa,index.html?sede=MED-918-001#registro
MED-918-002,918,Institución Educativa,IE,INST EDUC FE Y ALEGRIA LUIS AMIGO,Activa,index.html?sede=MED-918-002#registro
MED-918-003,918,Institución Educativa,IE,INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR,Activa,index.html?sede=MED-918-003#registro
MED-918-004,918,Institución Educativa,IE,INST EDUC GILBERTO ALZATE AVENDAÑO,Activa,index.html?sede=MED-918-004#registro
MED-918-005,918,Institución Educativa,IE,INST EDUC JOSE EUSEBIO CARO,Activa,index.html?sede=MED-918-005#registro
MED-918-006,918,Institución Educativa,IE,INST EDUC LORENZA VILLEGAS DE SANTOS,Activa,index.html?sede=MED-918-006#registro
MED-918-007,918,Institución Educativa,IE,INST EDUC MONSEÑOR FRANCISCO CRISTOBAL TORO,Activa,index.html?sede=MED-918-007#registro
MED-918-008,918,Institución Educativa,IE,INST EDUC SAN AGUSTIN,Activa,index.html?sede=MED-918-008#registro
MED-918-009,918,Sección Escuela,SEC,SEC ESC ANA FRANK,Activa,index.html?sede=MED-918-009#registro
MED-918-010,918,Sección Escuela,SEC,SEC ESC CARLOS VILLA MARTINEZ,Activa,index.html?sede=MED-918-010#registro
MED-918-011,918,Sección Escuela,SEC,SEC ESC EPIFANIO MEJIA,Activa,index.html?sede=MED-918-011#registro
MED-918-012,918,Sección Escuela,SEC,SEC ESC ESTEBAN JARAMILLO,Activa,index.html?sede=MED-918-012#registro
MED-918-013,918,Sección Escuela,SEC,SEC ESC SEGUROS BOLIVAR,Activa,index.html?sede=MED-918-013#registro
MED-918-014,918,Sección Escuela,SEC,SEC ESC SIMONA DUQUE,Activa,index.html?sede=MED-918-014#registro
MED-918-015,918,Sección Escuela,SEC,SEC ESC TOMAS CARRASQUILLA NO 1,Activa,index.html?sede=MED-918-015#registro
MED-919-001,919,Institución Educativa,IE,INST EDUC COL LOYOLA PARA LA CIENCIA Y LA INNOVACIÓN,Activa,index.html?sede=MED-919-001#registro
MED-919-002,919,Institución Educativa,IE,INST EDUC DIEGO ECHAVARRIA MISAS,Activa,index.html?sede=MED-919-002#registro
MED-919-003,919,Institución Educativa,IE,INST EDUC FELIX DE BEDOUT MORENO,Activa,index.html?sede=MED-919-003#registro
MED-919-004,919,Institución Educativa,IE,INST EDUC JOSE ASUNCION SILVA,Activa,index.html?sede=MED-919-004#registro
MED-919-005,919,Institución Educativa,IE,INST EDUC JULIO CESAR GARCIA,Activa,index.html?sede=MED-919-005#registro
MED-919-006,919,Institución Educativa,IE,INST EDUC MAESTRO PEDRO NEL GOMEZ,Activa,index.html?sede=MED-919-006#registro
MED-919-007,919,Institución Educativa,IE,INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,Activa,index.html?sede=MED-919-007#registro
MED-919-008,919,Institución Educativa,IE,INST EDUC RODRIGO CORREA PALACIO,Activa,index.html?sede=MED-919-008#registro
MED-919-009,919,Institución Educativa,IE,INST EDUC SEBASTIAN DE BELALCAZAR,Activa,index.html?sede=MED-919-009#registro
MED-919-010,919,Institución Educativa,IE,INST EDUC SOR JUANA INES DE LA CRUZ,Activa,index.html?sede=MED-919-010#registro
MED-919-011,919,Sección Escuela,SEC,SEC ESC DIEGO MARIA GOMEZ,Activa,index.html?sede=MED-919-011#registro
MED-919-012,919,Sección Escuela,SEC,SEC ESC EDUARDO URIBE BOTERO,Activa,index.html?sede=MED-919-012#registro
MED-919-013,919,Sección Escuela,SEC,SEC ESC TOSCANA,Activa,index.html?sede=MED-919-013#registro
MED-920-001,920,Institución Educativa,IE,INST EDUC ALFONSO LOPEZ,Activa,index.html?sede=MED-920-001#registro
MED-920-002,920,Institución Educativa,IE,INST EDUC DINAMARCA,Activa,index.html?sede=MED-920-002#registro
MED-920-003,920,Institución Educativa,IE,INST EDUC JESUS MARIA - EL ROSAL,Activa,index.html?sede=MED-920-003#registro
MED-920-004,920,Institución Educativa,IE,INST EDUC MAESTRO ARENAS BETANCUR,Activa,index.html?sede=MED-920-004#registro
MED-920-005,920,Institución Educativa,IE,INST EDUC MANUEL JOSE GOMEZ S,Activa,index.html?sede=MED-920-005#registro
MED-920-006,920,Institución Educativa,IE,INST EDUC MARIA MONTESSORI,Activa,index.html?sede=MED-920-006#registro
MED-920-007,920,Institución Educativa,IE,INST EDUC PEDRO CLAVER AGUIRRE,Activa,index.html?sede=MED-920-007#registro
MED-920-008,920,Institución Educativa,IE,INST EDUC REPUBLICA DE URUGUAY,Activa,index.html?sede=MED-920-008#registro
MED-920-009,920,Institución Educativa,IE,INST EDUC TRICENTENARIO,Activa,index.html?sede=MED-920-009#registro
MED-920-010,920,Sección Escuela,SEC,SEC ESC ALEJO PIMIENTA,Activa,index.html?sede=MED-920-010#registro
MED-920-011,920,Sección Escuela,SEC,SEC ESC CARDENAL CRISANTO LUQUE,Activa,index.html?sede=MED-920-011#registro
MED-920-012,920,Sección Escuela,SEC,SEC ESC IMPERIO DEL JAPON,Activa,index.html?sede=MED-920-012#registro
MED-920-013,920,Sección Escuela,SEC,SEC ESC LA UNION,Activa,index.html?sede=MED-920-013#registro
MED-920-014,920,Sección Escuela,SEC,SEC ESC MUNICIPAL CASTILLA,Activa,index.html?sede=MED-920-014#registro
MED-920-015,920,Sección Escuela,SEC,SEC ESC MUNICIPAL KENNEDY,Activa,index.html?sede=MED-920-015#registro
MED-920-016,920,Sección Escuela,SEC,SEC ESC RICARDO URIBE ESCOBAR,Activa,index.html?sede=MED-920-016#registro
MED-920-017,920,Sección Escuela,SEC,SEC ESC TRICENTENARIO,Activa,index.html?sede=MED-920-017#registro
MED-921-001,921,Institución Educativa,IE,INST EDUC ALFREDO COCK ARANGO,Activa,index.html?sede=MED-921-001#registro
MED-921-002,921,Institución Educativa,IE,INST EDUC BARRIO SANTANDER,Activa,index.html?sede=MED-921-002#registro
MED-921-003,921,Institución Educativa,IE,INST EDUC CASD JOSE MARIA ESPINOSA PRIETO,Activa,index.html?sede=MED-921-003#registro
MED-921-004,921,Institución Educativa,IE,INST EDUC CIUDADELA LAS AMERICAS,Activa,index.html?sede=MED-921-004#registro
MED-921-005,921,Institución Educativa,IE,INST EDUC DOCE DE OCTUBRE,Activa,index.html?sede=MED-921-005#registro
MED-921-006,921,Institución Educativa,IE,INST EDUC EL PICACHITO,Activa,index.html?sede=MED-921-006#registro
MED-921-007,921,Institución Educativa,IE,INST EDUC EL TRIUNFO SANTA TERESA,Activa,index.html?sede=MED-921-007#registro
MED-921-008,921,Institución Educativa,IE,INST EDUC JESUS MARIA VALLE,Activa,index.html?sede=MED-921-008#registro
MED-921-009,921,Institución Educativa,IE,INST EDUC JORGE ELIECER GAITAN,Activa,index.html?sede=MED-921-009#registro
MED-921-010,921,Institución Educativa,IE,INST EDUC JUVENIL NUEVO FUTURO,Activa,index.html?sede=MED-921-010#registro
MED-921-011,921,Institución Educativa,IE,INST EDUC KENNEDY,Activa,index.html?sede=MED-921-011#registro
MED-921-012,921,Institución Educativa,IE,INST EDUC LA ESPERANZA,Activa,index.html?sede=MED-921-012#registro
MED-921-013,921,Institución Educativa,IE,INST EDUC MAESTRO FERNANDO BOTERO,Activa,index.html?sede=MED-921-013#registro
MED-921-014,921,Institución Educativa,IE,INST EDUC PEDREGAL,Activa,index.html?sede=MED-921-014#registro
MED-921-015,921,Institución Educativa,IE,INST EDUC PROGRESAR,Activa,index.html?sede=MED-921-015#registro
MED-921-016,921,Institución Educativa,IE,INST EDUC SANTA JUANA DE LESTONNAC,Activa,index.html?sede=MED-921-016#registro
MED-921-017,921,Concentración Educativa,CONC,SEC CONCENTRACION EDUCATIVA KENNEDY,Activa,index.html?sede=MED-921-017#registro
MED-921-018,921,Sección Escuela,SEC,SEC ESC CAROLINA KENNEDY,Activa,index.html?sede=MED-921-018#registro
MED-921-019,921,Sección Escuela,SEC,SEC ESC CONTRANAL,Activa,index.html?sede=MED-921-019#registro
MED-921-020,921,Sección Escuela,SEC,SEC ESC EL PEDREGAL,Activa,index.html?sede=MED-921-020#registro
MED-921-021,921,Sección Escuela,SEC,SEC ESC EL PICACHO,Activa,index.html?sede=MED-921-021#registro
MED-921-022,921,Sección Escuela,SEC,SEC ESC ELISA ARANGO DE COCK,Activa,index.html?sede=MED-921-022#registro
MED-921-023,921,Sección Escuela,SEC,SEC ESC ESTADO DE ISRAEL,Activa,index.html?sede=MED-921-023#registro
MED-921-024,921,Sección Escuela,SEC,SEC ESC LEON DE GREIFF,Activa,index.html?sede=MED-921-024#registro
MED-921-025,921,Sección Escuela,SEC,SEC ESC LOS COMUNEROS,Activa,index.html?sede=MED-921-025#registro
MED-921-026,921,Sección Escuela,SEC,SEC ESC MINERVA,Activa,index.html?sede=MED-921-026#registro
MED-921-027,921,Sección Escuela,SEC,SEC ESC RAFAEL J. MEJIA,Activa,index.html?sede=MED-921-027#registro
MED-921-028,921,Sección Escuela,SEC,SEC ESC REPUBLICA DE CUBA,Activa,index.html?sede=MED-921-028#registro
MED-921-029,921,Sección Escuela,SEC,SEC ESC SAN FRANCISCO DE PAULA,Activa,index.html?sede=MED-921-029#registro
MED-921-030,921,Sección Escuela,SEC,SEC ESC SAN MARTIN DE PORRES,Activa,index.html?sede=MED-921-030#registro
MED-922-001,922,Institución Educativa,IE,INST EDUC AURES,Activa,index.html?sede=MED-922-001#registro
MED-922-002,922,Institución Educativa,IE,INST EDUC BELLO HORIZONTE,Activa,index.html?sede=MED-922-002#registro
MED-922-003,922,Institución Educativa,IE,INST EDUC CIUDAD DON BOSCO,Activa,index.html?sede=MED-922-003#registro
MED-922-004,922,Institución Educativa,IE,INST EDUC EL DIAMANTE,Activa,index.html?sede=MED-922-004#registro
MED-922-005,922,Institución Educativa,IE,INST EDUC FE Y ALEGRIA AURES,Activa,index.html?sede=MED-922-005#registro
MED-922-006,922,Institución Educativa,IE,INST EDUC FE Y ALEGRIA SAN JOSE,Activa,index.html?sede=MED-922-006#registro
MED-922-007,922,Institución Educativa,IE,INST EDUC JESUS REY,Activa,index.html?sede=MED-922-007#registro
MED-922-008,922,Institución Educativa,IE,INST EDUC LUIS LOPEZ DE MESA,Activa,index.html?sede=MED-922-008#registro
MED-922-009,922,Institución Educativa,IE,INST EDUC RODRIGO ARENAS BENTANCUR,Activa,index.html?sede=MED-922-009#registro
MED-922-010,922,Institución Educativa,IE,INST EDUC SAN VICENTE DE PAUL,Activa,index.html?sede=MED-922-010#registro
MED-922-011,922,Sección Escuela,SEC,SEC ESC ALFREDO COCK ARANGO,Activa,index.html?sede=MED-922-011#registro
MED-922-012,922,Sección Escuela,SEC,SEC ESC AURES,Activa,index.html?sede=MED-922-012#registro
MED-922-013,922,Sección Escuela,SEC,SEC ESC PATIO DON BOSCO,Activa,index.html?sede=MED-922-013#registro
MED-923-001,923,Institución Educativa,IE,INST EDUC BARRIO OLAYA HERRERA,Activa,index.html?sede=MED-923-001#registro
MED-923-002,923,Institución Educativa,IE,INST EDUC BARRIO SANTA MARGARITA,Activa,index.html?sede=MED-923-002#registro
MED-923-003,923,Institución Educativa,IE,INST EDUC CAMILO MORA CARRASQUILLA,Activa,index.html?sede=MED-923-003#registro
MED-923-004,923,Institución Educativa,IE,INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA,Activa,index.html?sede=MED-923-004#registro
MED-923-005,923,Institución Educativa,IE,INST EDUC JORGE ROBLEDO,Activa,index.html?sede=MED-923-005#registro
MED-923-006,923,Institución Educativa,IE,INST EDUC MARISCAL ROBLEDO,Activa,index.html?sede=MED-923-006#registro
MED-923-007,923,Institución Educativa,IE,INST EDUC MONSEÑOR GERARDO VALENCIA CANO,Activa,index.html?sede=MED-923-007#registro
MED-923-008,923,Institución Educativa,IE,INST EDUC RAFAEL GARCIA HERREROS,Activa,index.html?sede=MED-923-008#registro
MED-923-009,923,Institución Educativa,IE,INST EDUC TOMAS CARRASQUILLA NO 2,Activa,index.html?sede=MED-923-009#registro
MED-923-010,923,Institución Educativa,IE,INST EDUC VALLEJUELOS,Activa,index.html?sede=MED-923-010#registro
MED-923-011,923,Institución Educativa,IE,INST EDUC VILLA FLORA,Activa,index.html?sede=MED-923-011#registro
MED-923-012,923,Instituto Técnico,IT,INST TEC IND PASCUAL BRAVO,Activa,index.html?sede=MED-923-012#registro
MED-923-013,923,Sección Escuela,SEC,SEC ESC CONRADO GONZÁLEZ MEJÍA,Activa,index.html?sede=MED-923-013#registro
MED-923-014,923,Sección Escuela,SEC,SEC ESC LA PORTADA,Activa,index.html?sede=MED-923-014#registro
MED-923-015,923,Sección Escuela,SEC,SEC ESC PEDRO NEL OSPINA,Activa,index.html?sede=MED-923-015#registro
MED-923-016,923,Sección Escuela,SEC,SEC ESC SANTA MARGARITA,Activa,index.html?sede=MED-923-016#registro
MED-924-001,924,Institución Educativa,IE,INST EDUC ALFONSO LOPEZ PUMAREJO,Activa,index.html?sede=MED-924-001#registro
MED-924-002,924,Institución Educativa,IE,INST EDUC CARACAS,Activa,index.html?sede=MED-924-002#registro
MED-924-003,924,Institución Educativa,IE,INST EDUC EDUC SOL DE ORIENTE,Activa,index.html?sede=MED-924-003#registro
MED-924-004,924,Institución Educativa,IE,INST EDUC EL PINAL,Activa,index.html?sede=MED-924-004#registro
MED-924-005,924,Institución Educativa,IE,INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,Activa,index.html?sede=MED-924-005#registro
MED-924-006,924,Institución Educativa,IE,INST EDUC FELIX HENAO BOTERO,Activa,index.html?sede=MED-924-006#registro
MED-924-007,924,Institución Educativa,IE,INST EDUC GABRIEL GARCIA MARQUEZ,Activa,index.html?sede=MED-924-007#registro
MED-924-008,924,Institución Educativa,IE,INST EDUC JOAQUIN VALLEJO ARBELAEZ,Activa,index.html?sede=MED-924-008#registro
MED-924-009,924,Institución Educativa,IE,INST EDUC JOSE CELESTINO MUTIS,Activa,index.html?sede=MED-924-009#registro
MED-924-010,924,Institución Educativa,IE,INST EDUC JUAN DE DIOS CARVAJAL,Activa,index.html?sede=MED-924-010#registro
MED-924-011,924,Institución Educativa,IE,INST EDUC JUAN DE LA CRUZ POSADA,Activa,index.html?sede=MED-924-011#registro
MED-924-012,924,Institución Educativa,IE,INST EDUC LA LIBERTAD,Activa,index.html?sede=MED-924-012#registro
MED-924-013,924,Institución Educativa,IE,INST EDUC LA SIERRA,Activa,index.html?sede=MED-924-013#registro
MED-924-014,924,Institución Educativa,IE,INST EDUC LUIS CARLOS GALAN SARMIENTO,Activa,index.html?sede=MED-924-014#registro
MED-924-015,924,Institución Educativa,IE,INST EDUC SAN FRANCISCO DE ASIS,Activa,index.html?sede=MED-924-015#registro
MED-924-016,924,Institución Educativa,IE,INST EDUC VIDA PARA TODOS,Activa,index.html?sede=MED-924-016#registro
MED-924-017,924,Sección Colegio,SCOL,SEC COL AGUSTIN NIETO CABALLERO,Activa,index.html?sede=MED-924-017#registro
MED-924-018,924,Sección Escuela,SEC,SEC ESC ALTOS DE LA TORRE,Activa,index.html?sede=MED-924-018#registro
MED-924-019,924,Sección Escuela,SEC,SEC ESC BATALLON GIRARDOT,Activa,index.html?sede=MED-924-019#registro
MED-924-020,924,Sección Escuela,SEC,SEC ESC BEATO DOMINGO ITURRATE,Activa,index.html?sede=MED-924-020#registro
MED-924-021,924,Sección Escuela,SEC,SEC ESC BEATO HERMANO SALOMON,Activa,index.html?sede=MED-924-021#registro
MED-924-022,924,Sección Escuela,SEC,SEC ESC COLINAS DE ENCISO,Activa,index.html?sede=MED-924-022#registro
MED-924-023,924,Sección Escuela,SEC,SEC ESC EL PINAL,Activa,index.html?sede=MED-924-023#registro
MED-924-024,924,Sección Escuela,SEC,SEC ESC FRANCISCO ANTONIO URIBE,Activa,index.html?sede=MED-924-024#registro
MED-924-025,924,Sección Escuela,SEC,SEC ESC HIPOLITO LONDOÑO MESA,Activa,index.html?sede=MED-924-025#registro
